"","Date","Year","Month","Dayofweek","Count"
"636",2013-09-28,"2013","09","6",658
"637",2013-09-29,"2013","09","7",657
"638",2013-09-30,"2013","09","1",648
"639",2013-10-01,"2013","10","2",684
"640",2013-10-02,"2013","10","3",676
"641",2013-10-03,"2013","10","4",642
"642",2013-10-04,"2013","10","5",671
"643",2013-10-05,"2013","10","6",600
"644",2013-10-06,"2013","10","7",674
"645",2013-10-07,"2013","10","1",671
"646",2013-10-08,"2013","10","2",670
"647",2013-10-09,"2013","10","3",678
"648",2013-10-10,"2013","10","4",662
"649",2013-10-11,"2013","10","5",696
"650",2013-10-12,"2013","10","6",585
"651",2013-10-13,"2013","10","7",603
"652",2013-10-14,"2013","10","1",554
"653",2013-10-15,"2013","10","2",644
"654",2013-10-16,"2013","10","3",603
"655",2013-10-17,"2013","10","4",628
"656",2013-10-18,"2013","10","5",632
"657",2013-10-19,"2013","10","6",630
"658",2013-10-20,"2013","10","7",598
"659",2013-10-21,"2013","10","1",635
"660",2013-10-22,"2013","10","2",596
"661",2013-10-23,"2013","10","3",628
"662",2013-10-24,"2013","10","4",621
"663",2013-10-25,"2013","10","5",664
"664",2013-10-26,"2013","10","6",621
"665",2013-10-27,"2013","10","7",582
"666",2013-10-28,"2013","10","1",631
"667",2013-10-29,"2013","10","2",661
"668",2013-10-30,"2013","10","3",659
"669",2013-10-31,"2013","10","4",664
"670",2013-11-01,"2013","11","5",728
"671",2013-11-02,"2013","11","6",642
"672",2013-11-03,"2013","11","7",669
"673",2013-11-04,"2013","11","1",666
"674",2013-11-05,"2013","11","2",644
"675",2013-11-06,"2013","11","3",643
"676",2013-11-07,"2013","11","4",627
"677",2013-11-08,"2013","11","5",643
"678",2013-11-09,"2013","11","6",631
"679",2013-11-10,"2013","11","7",622
"680",2013-11-11,"2013","11","1",579
"681",2013-11-12,"2013","11","2",602
"682",2013-11-13,"2013","11","3",598
"683",2013-11-14,"2013","11","4",595
"684",2013-11-15,"2013","11","5",657
"685",2013-11-16,"2013","11","6",597
"686",2013-11-17,"2013","11","7",628
"687",2013-11-18,"2013","11","1",616
"688",2013-11-19,"2013","11","2",545
"689",2013-11-20,"2013","11","3",631
"690",2013-11-21,"2013","11","4",598
"691",2013-11-22,"2013","11","5",635
"692",2013-11-23,"2013","11","6",607
"693",2013-11-24,"2013","11","7",601
